,WDID,Admin,Decree
0,3600507,30184.23162,5.5
1,3600507,22964.21102,2.13
2,3600507,17806.0,1.0
3,3600507,13301.0,1.37
4,3600507,12950.0,1.0
5,3600603,32075.25707,6.02
6,3600603,32075.20228,6.21
7,3600603,20228.0,1.25
8,3600603,19239.0,3.5
10,3600642,53325.49773,3.0
11,3600642,52230.494660000004,10.0
12,3600642,49798.0,3.0
13,3600642,49673.494660000004,10.0
14,3600642,19909.0,6.35
15,3600645,33846.0,3.38
16,3600645,32075.23878,14.0
17,3600645,21975.20392,10.0
18,3600645,20294.0,2.5
19,3600645,19919.0,2.5
20,3600645,17288.0,5.0
21,3600658,36311.0,8.0
22,3600658,23296.224309999998,3.4
23,3600660,30184.23526,17.1
24,3600660,30184.18262,2.0
25,3600660,12936.0,6.0
26,3600671,35929.0,15.0
27,3600671,32075.311660000003,18.8
28,3600671,32075.2578,2.0
29,3600671,22965.22553,1.5
30,3600671,14884.0,0.65
31,3600671,14397.0,1.5
32,3600687,32075.09324,13.4
33,3600687,9324.0,3.25
34,3600709,45290.45144,36.62
35,3600709,32075.18262,17.85
36,3600709,32075.114439999998,3.0
37,3600709,30184.29584,18.33
38,3600725,37421.0,2.2
39,3600725,32075.2283,6.6
40,3600725,32075.19523,4.0
41,3600725,19523.0,1.0
42,3600728,37407.0,6.53
43,3600728,32075.228369999997,3.0
44,3600728,32075.1888,3.0
45,3600728,18515.0,3.0
46,3600729,37416.0,3.4
47,3600729,32075.22844,7.6
48,3600729,32075.1951,3.0
49,3600729,19510.0,3.0
50,3600734,32075.280319999998,18.67
51,3600765,32075.27539,9.87
52,3600765,17046.0,5.0
53,3600775,53325.52868,10.75
54,3600775,14703.0,5.25
55,3600780,35915.0,12.0
56,3600780,30184.301069999998,9.3
57,3600780,19601.0,2.2
58,3600796,32075.204530000003,13.79
59,3600796,13259.0,3.25
60,3600801,18871.0,15.0
61,3600801,15157.0,15.0
68,3700519,30894.30102,4.08
69,3700519,30894.275139999998,4.5
70,3700519,30894.209389999996,1.5
71,3700519,25277.204530000003,1.5
72,3700539,23802.2374,27.7
73,3700539,23261.20827,0.4
74,3700539,17683.0,0.14
75,3700539,16251.14411,0.1
76,3700539,15646.0,0.8
77,3700539,13985.0,2.2
78,3700539,13918.0,1.0
79,3700539,13593.0,3.2
80,3700539,13591.0,0.85
81,3700539,13591.0,2.8
82,3700539,13589.0,0.95
83,3700539,13392.0,0.4
84,3700539,12188.0,1.8
85,3700545,30894.269060000002,12.42
86,3700545,16251.127730000002,0.8
87,3700548,30894.269060000002,1.0
88,3700548,30894.216889999996,5.25
89,3700548,30894.15115,0.6
90,3700548,20972.14185,8.0
91,3700548,16251.151259999999,0.17
92,3700548,16251.13302,0.8
